date,difficulty,guesses,hints
Sun Jan 29 15:46:44 EST 2012,4,3,2,
Sun Jan 29 15:46:46 EST 2012,4,3,2,
Sun Jan 29 15:46:48 EST 2012,4,3,2,
Sun Jan 29 15:46:49 EST 2012,4,3,2,
Sun Jan 29 15:54:04 EST 2012,GameModeEasy,0,0,
Sun Jan 29 15:58:16 EST 2012,GameModeEasy,3,0,
Sun Jan 29 16:43:17 EST 2012,null,1,0,
Sun Jan 29 00:59:30 EST 2012,null,3,0,
Sun Jan 29 01:14:29 EST 2012,easy,4,0,
Sun Jan 29 01:17:13 EST 2012,easy,7,0,
Sun Jan 29 01:20:27 EST 2012,easy,8,0,
Sun Jan 29 01:21:42 EST 2012,easy,0,0,
Mon Feb 06 11:59:23 EST 2012,easy,0,0,
Mon Feb 06 12:31:38 EST 2012,easy,5,0,
Mon Feb 06 12:42:44 EST 2012,easy,28,0,